Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.07     0.00    68175     0.00     0.00  std::remove_reference<std::array<int, 2ul>*&>::type&& std::move<std::array<int, 2ul>*&>(std::array<int, 2ul>*&)
  0.00      0.07     0.00    67973     0.00     0.00  std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>::type&& std::move<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.07     0.00    66132     0.00     0.00  std::vector<Link*, std::allocator<Link*> >::operator[](unsigned long)
  0.00      0.07     0.00    64846     0.00     0.00  std::vector<std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >, std::allocator<std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > > > >::operator[](unsigned long)
  0.00      0.07     0.00    64831     0.00     0.00  std::array<int, 4ul>::begin() const
  0.00      0.07     0.00    63336     0.00     0.00  std::vector<actin*, std::allocator<actin*> >::operator[](unsigned long)
  0.00      0.07     0.00    62623     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.07     0.00    62175     0.00     0.00  int const* std::__niter_base<int const*>(int const*)
  0.00      0.07     0.00    57955     0.00     0.00  std::__detail::_Hash_code_base<std::array<int, 4ul>, std::array<int, 4ul>, std::__detail::_Identity, boost::hash<std::array<int, 4ul> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, true>::_M_h2() const
  0.00      0.07     0.00    57789     0.00     0.00  std::__detail::_Node_iterator<std::array<int, 4ul>, true, true>::_Node_iterator(std::__detail::_Hash_node<std::array<int, 4ul>, true>*)
  0.00      0.07     0.00    57054     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.07     0.00    54438     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      0.07     0.00    53624     0.00     0.00  bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.07     0.00    52578     0.00     0.00  unsigned long boost::hash_range<int const*>(int const*, int const*)
  0.00      0.07     0.00    51377     0.00     0.00  std::array<int, 2ul>::data() const
  0.00      0.07     0.00    51377     0.00     0.00  std::__array_traits<int, 2ul>::_S_ptr(int const (&) [2])
  0.00      0.07     0.00    51123     0.00     0.00  std::array<int, 4ul>::end() const
  0.00      0.07     0.00    41358     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.07     0.00    40748     0.00     0.00  std::_Hashtable<std::array<int, 4ul>, std::array<int, 4ul>, std::allocator<std::array<int, 4ul> >, std::__detail::_Identity, std::equal_to<std::array<int, 4ul> >, boost::hash<std::array<int, 4ul> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, true, true> >::end()
  0.00      0.07     0.00    40418     0.00     0.00  std::move_iterator<int*>::base() const
  0.00      0.07     0.00    40418     0.00     0.00  std::move_iterator<int*>::move_iterator(int*)
