Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.07     0.00    39818     0.00     0.00  std::vector<std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >*, std::allocator<std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >*> >::at(unsigned long)
  0.00      0.07     0.00    39818     0.00     0.00  std::vector<std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >*, std::allocator<std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >*> >::operator[](unsigned long)
  0.00      0.07     0.00    39076     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
  0.00      0.07     0.00    39076     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00      0.07     0.00    39018     0.00     0.00  std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >::_M_range_check(unsigned long) const
  0.00      0.07     0.00    38380     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*)
  0.00      0.07     0.00    38380     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag)
  0.00      0.07     0.00    38380     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct_aux<char*>(char*, char*, std::__false_type)
  0.00      0.07     0.00    38380     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<char*, void>(char*, char*, std::allocator<char> const&)
  0.00      0.07     0.00    38130     0.00     0.00  std::move_iterator<int*>::base() const
  0.00      0.07     0.00    38130     0.00     0.00  std::move_iterator<int*>::move_iterator(int*)
  0.00      0.07     0.00    38130     0.00     0.00  decltype (__miter_base(({parm#1}.base)())) std::__miter_base<int*>(std::move_iterator<int*>)
  0.00      0.07     0.00    38130     0.00     0.00  int* std::__miter_base<int*>(int*)
  0.00      0.07     0.00    37347     0.00     0.00  std::vector<Link*, std::allocator<Link*> >::size() const
  0.00      0.07     0.00    36358     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.07     0.00    36358     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.07     0.00    36358     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      0.07     0.00    36257     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      0.07     0.00    35706     0.00     0.00  std::move_iterator<int*> std::__make_move_if_noexcept_iterator<int, std::move_iterator<int*> >(int*)
  0.00      0.07     0.00    35100     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      0.07     0.00    35100     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      0.07     0.00    34772     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.07     0.00    32724     0.00     0.00  std::enable_if<std::__and_<std::is_move_constructible<int*>, std::is_move_assignable<int*> >::value, void>::type std::swap<int*>(int*&, int*&)
  0.00      0.07     0.00    30174     0.00     0.00  void __gnu_cxx::new_allocator<std::array<int, 2ul> >::construct<std::array<int, 2ul>, std::array<int, 2ul> >(std::array<int, 2ul>*, std::array<int, 2ul>&&)
  0.00      0.07     0.00    30174     0.00     0.00  void std::allocator_traits<std::allocator<std::array<int, 2ul> > >::construct<std::array<int, 2ul>, std::array<int, 2ul> >(std::allocator<std::array<int, 2ul> >&, std::array<int, 2ul>*, std::array<int, 2ul>&&)
  0.00      0.07     0.00    30174     0.00     0.00  void std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >::emplace_back<std::array<int, 2ul> >(std::array<int, 2ul>&&)
  0.00      0.07     0.00    30174     0.00     0.00  std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >::push_back(std::array<int, 2ul>&&)
  0.00      0.07     0.00    30174     0.00     0.00  std::remove_reference<std::array<int, 2ul>&>::type&& std::move<std::array<int, 2ul>&>(std::array<int, 2ul>&)
  0.00      0.07     0.00    30098     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, char const*)
  0.00      0.07     0.00    30098     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00      0.07     0.00    28482     0.00     0.00  std::isfinite(double)
  0.00      0.07     0.00    27169     0.00     0.00  std::__cxx11::to_string(double)
  0.00      0.07     0.00    25364     0.00     0.00  std::_Vector_base<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >::_M_get_Tp_allocator()
  0.00      0.07     0.00    24252     0.00     0.00  boost::hash_detail::basic_numbers<int>::type boost::hash_value<int>(int)
  0.00      0.07     0.00    24252     0.00     0.00  void boost::hash_combine<int>(unsigned long&, int const&)
  0.00      0.07     0.00    24252     0.00     0.00  boost::hash<int>::operator()(int) const
  0.00      0.07     0.00    24080     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.07     0.00    24080     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.07     0.00    23306     0.00     0.00  std::array<int, 2ul>::begin() const
  0.00      0.07     0.00    22974     0.00     0.00  std::pair<double, std::array<int, 2ul> >&& std::forward<std::pair<double, std::array<int, 2ul> > >(std::remove_reference<std::pair<double, std::array<int, 2ul> > >::type&)
  0.00      0.07     0.00    22725     0.00     0.00  std::enable_if<std::__and_<std::is_move_constructible<std::array<int, 2ul>*>, std::is_move_assignable<std::array<int, 2ul>*> >::value, void>::type std::swap<std::array<int, 2ul>*>(std::array<int, 2ul>*&, std::array<int, 2ul>*&)
  0.00      0.07     0.00    21563     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      0.07     0.00    21029     0.00     0.00  __gnu_cxx::new_allocator<std::array<int, 2ul> >::~new_allocator()
  0.00      0.07     0.00    21029     0.00     0.00  std::allocator<std::array<int, 2ul> >::~allocator()
  0.00      0.07     0.00    20970     0.00     0.00  std::__detail::_Node_iterator<std::array<int, 2ul>, true, true>::_Node_iterator(std::__detail::_Hash_node<std::array<int, 2ul>, true>*)
  0.00      0.07     0.00    20970     0.00     0.00  std::__detail::_Node_iterator_base<std::array<int, 2ul>, true>::_Node_iterator_base(std::__detail::_Hash_node<std::array<int, 2ul>, true>*)
  0.00      0.07     0.00    20390     0.00     0.00  std::vector<filament*, std::allocator<filament*> >::operator[](unsigned long)
  0.00      0.07     0.00    19692     0.00     0.00  std::array<int, 2ul> const& std::forward<std::array<int, 2ul> const&>(std::remove_reference<std::array<int, 2ul> const&>::type&)
  0.00      0.07     0.00    19608     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00      0.07     0.00    19608     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.00      0.07     0.00    19608     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      0.07     0.00    19065     0.00     0.00  int* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.00      0.07     0.00    19065     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.00      0.07     0.00    19065     0.00     0.00  int* std::__copy_move_a<true, int*, int*>(int*, int*, int*)
  0.00      0.07     0.00    19065     0.00     0.00  int* std::__copy_move_a2<true, int*, int*>(int*, int*, int*)
  0.00      0.07     0.00    19065     0.00     0.00  int* std::uninitialized_copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.00      0.07     0.00    19065     0.00     0.00  int* std::__uninitialized_copy_a<std::move_iterator<int*>, int*, int>(std::move_iterator<int*>, std::move_iterator<int*>, int*, std::allocator<int>&)
  0.00      0.07     0.00    19065     0.00     0.00  int* std::copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.00      0.07     0.00    18404     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.07     0.00    18404     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.07     0.00    18404     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      0.07     0.00    18075     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      0.07     0.00    17873     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      0.07     0.00    17873     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.07     0.00    17873     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
